## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.ctaName,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
tips-to-save-more-in-2025,Digital Savings Account,SA,,https://www.axisbank.com/images/default-source/revamp_new/progresswithus/tips-to-save-more-in-2025-300x200.jpg?sfvrsn=a45ae656_2,,https://www.axisbank.com/progress-with-us-articles/savings/savings-account/tips-to-save-more-in-2025,,,Secrets to boost your savings,,,,,,,,,,
how-to-open-jan-dhan-account-online,Digital Savings Account,SA,,https://www.axisbank.com/images/default-source/progress-with-us_new/jan-dhan-account-online-300x200.jpg?sfvrsn=14a0e356_2,,https://www.axisbank.com/progress-with-us-articles/savings/savings-account/how-to-open-jan-dhan-account-online,,,Guide to Jan Dhan Yojana Account,,,,,,,,,,
cash-deposit-limit-in-saving-account,Digital Savings Account,SA,,https://www.axisbank.com/images/default-source/progress-with-us_new/cash-deposit-limit-in-saving-account_300x200-1.jpg?sfvrsn=3539f956_2,,https://www.axisbank.com/progress-with-us-articles/money-matters/save-invest/cash-deposit-limit-in-saving-account,,,Guide to the Cash Deposit Limit in a Savings Account,,,,,,,,,,
can-you-open-a-savings-account-online,Digital Savings Account,SA,,https://www.axisbank.com/images/default-source/progress-with-us_new/how-to-open-a-bank-account-in-5-easy-steps-300x200-1-2.jpg?sfvrsn=3839f956_2,,https://www.axisbank.com/progress-with-us-articles/money-matters/save-invest/can-you-open-a-savings-account-online,,,5 simple steps for opening a Savings Account online,,,,,,,,,,
types-of-savings-account,Digital Savings Account,SA,,https://www.axisbank.com/images/default-source/progress-with-us_new/how-to-determine-which-savings-acocount-is-right-for-you_300-x-200-px.jpg?sfvrsn=3a281c56_4,,https://www.axisbank.com/progress-with-us-articles/money-matters/save-invest/types-of-savings-account,,,How to determine which Savings Account is right for you?,,,,,,,,,,
types-of-savings-account,Digital Savings Account,SA,,https://www.axisbank.com/images/default-source/progress-with-us_new/types-of-savings-accounts-know-them-all-300x200-1-3.jpg?sfvrsn=d139f956_2,,https://www.axisbank.com/progress-with-us-articles/money-matters/save-invest/types-of-savings-account,,,Types of Savings Accounts: Know them all,,,,,,,,,,
personal-loan-benefits-to-achieve-new-year-goals-in-2025,Personal Loan,PL,,https://www.axisbank.com/images/default-source/progress-with-us_new/personal-loan-benefits-300x200.jpg?sfvrsn=6545e656_2,,https://www.axisbank.com/progress-with-us-articles/loans/personal-loans/personal-loan-benefits-to-achieve-new-year-goals-in-2025,,,Achieve your goals with a Personal Loan,,,,,,,,,,
multi-purpose-loan,Personal Loan,PL,,https://www.axisbank.com/images/default-source/progress-with-us_new/08-11-2024-multipurpose-loan-300x200-op.jpg?sfvrsn=78e5e756_2,,https://www.axisbank.com/progress-with-us-articles/loans/personal-loan/multi-purpose-loan,,,Complete guide to multipurpose Loan,,,,,,,,,,
how-career-graph-affect-your-personal-loan-eligibility,Personal Loan,PL,,https://www.axisbank.com/images/default-source/progress-with-us_new/01-10-2024-how-does-career-graph-affect-your-personal-loan-eligibility-300x200.jpg?sfvrsn=29d6e156_2,,https://www.axisbank.com/progress-with-us-articles/loans/personal-loans/how-career-graph-affect-your-personal-loan-eligibility,,,Career graph's influence on loan eligibility,,,,,,,,,,
debt-to-income-ratio,Personal Loan,PL,,https://www.axisbank.com/images/default-source/progress-with-us_new/debt-to-income-ratio-300x200.jpg?sfvrsn=d629e156_2,,https://www.axisbank.com/progress-with-us-articles/loans/personal-loan/debt-to-income-ratio,,,Benefits of low debt-to-income ratio,,,,,,,,,,
